# Mon May 26 10:57:30 2025
# Output created from within /home/haue/repositories/Masters/build with the following command
# ./calibration/ucal/printEnergyCorrections -s ../setup/setup.json -t ../setup/target.json -d U1,U2,U3,U6 -E 385.72,904.02,1843.18,2076.74,2217.45 -i 17 
# Setup:          ../setup/setup.json
# Target:         ../setup/target.json
# Source point:   (0, 0, -0.300054)
# Energies (keV): 385.72 904.02 1843.18 2076.74 2217.45 
# Detector=U1	FRONT STRIPS 2..15
309.461	853.256	1813.73	2049.71	2191.56	# 8
306.038	851.466	1812.65	2048.7	2190.6	# 9
303.381	849.948	1811.74	2047.87	2189.8	# 10
301.496	848.702	1811.01	2047.2	2189.16	# 11
300.336	847.719	1810.45	2046.68	2188.66	# 12
299.838	846.99	1810.06	2046.33	2188.32	# 13
300.078	846.593	1809.88	2046.17	2188.17	# 14
302.947	847.605	1810.55	2046.8	2188.78	# 15
# Detector=U6	BACK STRIPS 2..15
366.321	892.345	1836.05	2070.13	2211.1	# 2
346.519	870.43	1824.23	2059.44	2200.89	# 3
333.164	864.404	1820.6	2056.09	2197.68	# 4
325.508	860.781	1818.37	2054.02	2195.7	# 5
319.706	858.038	1816.68	2052.45	2194.19	# 6
314.807	855.723	1815.25	2051.12	2192.92	# 7
310.547	853.678	1814	2049.96	2191.8	# 8
306.908	851.862	1812.89	2048.93	2190.82	# 9
303.949	850.281	1811.94	2048.05	2189.98	# 10
301.729	848.954	1811.15	2047.32	2189.28	# 11
300.263	847.893	1810.54	2046.76	2188.74	# 12
299.537	847.111	1810.1	2046.36	2188.36	# 13
299.656	846.7	1809.91	2046.19	2188.19	# 14
302.54	847.753	1810.59	2046.83	2188.81	# 15

