# Mon Jun 16 14:26:37 2025
# Output created from within /home/haue/repositories/Masters/build with the following command
# ./angle_effect/EnergyEstimation -s ../setup/setup.json -t ../setup/target.json -d U1,U2,U3,U6 -E 385.72,904.02,1843.18,2076.74,2217.45 -i 17.0 
# Setup:               ../setup/setup.json
# Target:              ../setup/target.json
# Source point:        (0, 0, -0.500054)
# Radius of source:    1e-06
# Number of iteraitons:100000
# Energies (keV):      385.72 904.02 1843.18 2076.74 2217.45 
# Detector=U1	front strips 2..15
356.669 886.405 1832.63 2066.9 2207.98 #Strip 14
355.535 886.224 1832.19 2066.52 2207.75 #Strip 15
# Detector=U6	front strips 2..15
373.211 896.296 1838.4 2072.33 2213.15 #Strip 2
373.278 896.351 1838.43 2072.3 2213.21 #Strip 3
373.176 896.266 1838.4 2072.31 2213.17 #Strip 4
371.235 894.09 1837.71 2071.43 2212.46 #Strip 5
365.7 891.612 1835.69 2069.56 2210.37 #Strip 6
359.266 886.902 1833.02 2067.45 2209.1 #Strip 7
355.212 885.576 1832.47 2065.86 2207.26 #Strip 8
349.565 882.405 1830.17 2064.4 2206.54 #Strip 9
345.512 879.942 1829.23 2063.82 2205.14 #Strip 10
344.249 878.874 1828.49 2062.6 2204.24 #Strip 11
341.638 878.382 1827.75 2061.67 2203.45 #Strip 12
339.59 877.157 1826.69 2062.13 2203.14 #Strip 13
341.464 877.985 1827.36 2062.3 2203.24 #Strip 14
342.021 878.494 1827.81 2062.5 2203.86 #Strip 15
# Detector=U6	back strips 2..15
373.114 896.2 1838.39 2072.25 2213.19 #Strip 2
373.124 896.204 1838.39 2072.28 2213.18 #Strip 3
373.21 896.225 1838.35 2072.33 2213.19 #Strip 4
370.614 894.68 1837.65 2071.55 2212.62 #Strip 5
365.771 891.638 1835.93 2069.83 2210.65 #Strip 6
360.407 887.994 1833.8 2067.76 2208.76 #Strip 7
356.612 885.169 1831.93 2066.3 2207.53 #Strip 8
349.446 882.428 1830.24 2064.32 2206.43 #Strip 9
347.01 880.244 1829.26 2063.82 2205.55 #Strip 10
342.923 879.384 1828.12 2062.94 2204.06 #Strip 11
340.404 878.497 1827.62 2062.5 2203.22 #Strip 12
339.334 877.291 1826.7 2061.64 2203.22 #Strip 13
341.583 877.481 1827.29 2062.37 2203.44 #Strip 14
342.262 878.63 1827.9 2062.49 2203.98 #Strip 15
