============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(4,07 MeV) ==> Silicon( 68.1 um) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   43  1 ,2834317E+07   6820010E-01  ,7499E+04  ,6394E+04   ,9996284  ,0105718  ,0251243
T   44  1 ,2860426E+07   6820014E-01 -,4731E+04  ,1101E+04   ,9999194 -,0125904  ,0016626
T   45  1 ,2912435E+07   6820005E-01  ,1774E+05  ,1841E+05   ,9957183  ,0505908  ,0773672
T   46  1 ,2856441E+07   6820014E-01 -,6689E+04 -,4511E+04   ,9995888 -,0164622 -,0234774
T   47  1 ,2869203E+07   6820012E-01 -,1322E+05  ,1558E+05   ,9992945 -,0176743  ,0331366
T   48  1 ,2846267E+07   6820026E-01  ,3442E+04  ,1262E+05   ,9999940 -,0033228  ,0009534
T   49  1 ,2819409E+07   6820014E-01  ,1633E+03 -,1557E+05   ,9985511  ,0232791 -,0485157
T   50  1 ,2915756E+07   6820026E-01 -,1186E+04  ,5712E+04   ,9961934  ,0846584 -,0207762
T   51  1 ,2890953E+07   6820009E-01  ,1212E+04 -,1510E+05   ,9992324  ,0115278 -,0374383
T   52  1 ,2885057E+07   6820024E-01 -,1436E+05  ,1227E+05   ,9984273 -,0447705  ,0337428
T   53  1 ,2815400E+07   6820015E-01 -,8838E+04 -,2173E+05   ,9923268 -,0420012 -,1162907
T   54  1 ,2786126E+07   6820023E-01 -,8051E+04  ,7996E+04   ,9992151 -,0242051  ,0313561
T   55  1 ,2837471E+07   6820004E-01 -,2121E+05 -,6385E+04   ,9989770 -,0406443 -,0198230
T   56  1 ,2913635E+07   6820018E-01 -,1453E+05 -,1109E+05   ,9999272 -,0117405 -,0027933
T   57  1 ,2818505E+07   6820025E-01 -,1062E+05 -,9648E+04   ,9993542 -,0359263 -,0006403
T   58  1 ,2830074E+07   6820009E-01  ,4627E+04  ,1920E+05   ,9981684  ,0286852  ,0532636
T   59  1 ,2956404E+07   6820018E-01 -,7757E+04 -,4014E+04   ,9997754 -,0211173  ,0017962
T   60  1 ,2868922E+07   6820007E-01  ,1205E+04  ,1798E+05   ,9994118  ,0016159  ,0342568
T   61  1 ,2906599E+07   6820010E-01 -,6523E+03 -,2128E+04   ,9999234 -,0036941 -,0118099
T   62  1 ,2862319E+07   6820018E-01 -,3615E+04 -,3283E+04   ,9999639 -,0074452 -,0041035
T   63  1 ,2858779E+07   6820019E-01  ,2363E+04  ,6796E+04   ,9994182  ,0006082  ,0341013
T   64  1 ,2857371E+07   6820011E-01  ,1047E+05 -,2945E+05   ,9956158  ,0390683 -,0849872
T   65  1 ,2851523E+07   6820027E-01 -,1816E+05  ,4446E+04   ,9996318 -,0264082 -,0062342
T   66  1 ,2819594E+07   6820012E-01  ,3418E+04  ,3600E+04   ,9998964 -,0099133  ,0104353
T   67  1 ,2872280E+07   6820025E-01 -,7322E+04  ,4580E+04   ,9995623 -,0244077  ,0167197
T   68  1 ,2894446E+07   6820007E-01  ,6875E+04 -,6402E+04   ,9989957  ,0346874 -,0283607
T   69  1 ,2958440E+07   6820018E-01 -,2667E+05  ,4108E+04   ,9991756 -,0405955 -,0003973
T   70  1 ,2872780E+07   6820002E-01 -,2379E+04  ,9510E+04   ,9999986 -,0015797  ,0006023
T   71  1 ,2981272E+07   6820020E-01 -,1672E+05  ,5096E+04   ,9998124 -,0092223  ,0170302
T   72  1 ,2888384E+07   6820000E-01  ,7517E+04  ,1453E+05   ,9995408  ,0193183  ,0233445
T   73  1 ,2908661E+07   6820022E-01  ,7460E+03 -,7466E+04   ,9997536  ,0060499 -,0213560
T   74  1 ,2884886E+07   6820023E-01 -,2248E+05 -,2507E+04   ,9965138 -,0711524 -,0435621
T   75  1 ,2940913E+07   6820026E-01 -,1022E+04  ,9146E+04   ,9992469 -,0185072  ,0341035
T   76  1 ,2895202E+07   6820026E-01 -,1179E+05 -,9609E+04   ,9988156 -,0459019 -,0161347
T   77  1 ,2886970E+07   6820024E-01 -,1576E+04  ,1548E+04   ,9989456 -,0145070  ,0435579
T   78  1 ,2834583E+07   6820026E-01 -,2391E+05  ,7428E+04   ,9985118 -,0362969  ,0407016
T   79  1 ,2872520E+07   6820019E-01  ,1692E+05 -,7215E+04   ,9989131  ,0403189 -,0233871
T   80  1 ,2820296E+07   6820012E-01  ,5691E+04 -,5205E+03   ,9999534  ,0013831 -,0095492
T   81  1 ,2815066E+07   6820010E-01  ,2214E+05 -,1092E+05   ,9992516  ,0386638  ,0011992
T   82  1 ,2819125E+07   6820018E-01 -,5420E+05  ,5454E+05   ,9899261 -,0789849  ,1175060
T   83  1 ,2860498E+07   6820015E-01 -,9918E+04  ,2436E+04   ,9995227 -,0216695  ,0220196
T   84  1 ,2847767E+07   6820019E-01 -,7116E+04 -,9224E+04   ,9998230  ,0042378 -,0183327
T   85  1 ,2865329E+07   6820008E-01  ,5387E+04 -,2715E+04   ,9998545 -,0013133 -,0170055
T   86  1 ,2891457E+07   6820001E-01  ,4900E+04  ,4754E+04   ,9998959  ,0104650  ,0099284
T   87  1 ,2794466E+07   6820023E-01  ,6271E+04 -,4773E+04   ,9958099 -,0015224 -,0914346
T   88  1 ,2889571E+07   6820012E-01  ,5672E+04 -,8562E+04   ,9976117  ,0661483 -,0198816
T   89  1 ,2778865E+07   6820025E-01 -,4718E+04 -,5740E+04   ,9996184 -,0258073 -,0098473
T   90  1 ,2894293E+07   6820023E-01  ,4692E+04 -,3762E+04   ,9997805  ,0206733  ,0033868
T   91  1 ,2834542E+07   6820024E-01 -,2247E+05  ,3034E+05   ,9962745 -,0659694  ,0555437
T   92  1 ,2916437E+07   6820001E-01  ,9679E+04  ,2233E+04   ,9982660  ,0135863 -,0572749
T   93  1 ,2868058E+07   6820014E-01  ,1149E+05  ,7990E+04   ,9995963  ,0267162 -,0096722
T   94  1 ,2862534E+07   6820025E-01 -,9098E+03  ,1541E+04   ,9999117  ,0125970  ,0042433
T   95  1 ,2874850E+07   6820013E-01 -,9965E+04 -,3590E+04   ,9994672 -,0293433  ,0142912
T   96  1 ,2893284E+07   6820027E-01  ,6852E+04  ,2617E+04   ,9988071  ,0389054  ,0295079
T   97  1 ,2943543E+07   6820017E-01  ,5732E+04  ,7153E+03   ,9994839 -,0047238 -,0317740
T   98  1 ,2907411E+07   6820017E-01  ,1633E+05 -,4988E+04   ,9998043  ,0197312 -,0014260
T   99  1 ,2822387E+07   6820008E-01  ,2078E+05  ,5835E+04   ,9984497  ,0500960  ,0242617
T  100  1 ,2882710E+07   6820026E-01  ,1478E+05 -,4304E+04   ,9994434  ,0263060 -,0205156
T  101  1 ,2912014E+07   6820004E-01  ,6192E+04  ,7635E+04   ,9992083  ,0389983  ,0078635
T  102  1 ,2811636E+07   6820019E-01 -,7974E+04 -,1254E+05   ,9996496 -,0008068 -,0264562
T  103  1 ,2912095E+07   6820016E-01 -,2483E+04 -,1507E+05   ,9995614 -,0168281 -,0243695
T  104  1 ,2858857E+07   6820000E-01  ,1589E+05 -,2910E+05   ,9995959  ,0185350  ,0215522
T  105  1 ,2880438E+07   6820000E-01  ,5985E+04  ,8233E+04   ,9946936  ,0619107  ,0821684
T  106  1 ,2943948E+07   6820024E-01 -,1100E+05 -,5306E+04   ,9991769 -,0353587 -,0198821
T  107  1 ,2890117E+07   6820004E-01  ,8344E+04  ,5013E+03   ,9998827  ,0145744 -,0047083
T  108  1 ,2871480E+07   6820026E-01  ,5672E+04 -,3387E+04   ,9999155  ,0022517 -,0127999
T  109  1 ,2900757E+07   6820005E-01  ,2882E+04 -,2007E+05   ,9986725 -,0215813 -,0467709
T  110  1 ,2964161E+07   6820009E-01  ,8915E+04  ,1087E+04   ,9998368  ,0168422  ,0065298
T  111  1 ,2842791E+07   6820017E-01  ,6699E+03  ,3606E+05   ,9984194 -,0075473  ,0556924
T  112  1 ,2879075E+07   6820016E-01  ,4861E+04 -,1436E+05   ,9988526  ,0044656 -,0476824
T  113  1 ,2897836E+07   6820023E-01  ,4850E+04 -,5855E+03   ,9994610  ,0328273  ,0001424
T  114  1 ,2897660E+07   6820019E-01  ,1362E+05  ,3040E+04   ,9978107  ,0646982  ,0137079
T  115  1 ,2948039E+07   6820015E-01  ,1492E+05 -,1973E+05   ,9992073 -,0190799 -,0349392
T  116  1 ,2851696E+07   6820003E-01  ,2552E+04  ,9954E+04   ,9994942  ,0318000  ,0000890
