# Tue Jun  3 09:39:37 2025
# Output created from within /home/haue/repositories/Masters/simdata with the following command
# Angles -s ../setup/setup.json -t ../setup/target.json -i 17 -m ../setup/matcher.json -n 1000 -dU2 
# Setup:                         ../setup/setup.json
# Target:                        ../setup/target.json
# Implantation depth:            17 nm in target of thickness 142.033 nm
# Nr. of max iterations:         1000
# Matcher:                       ../setup/matcher.json
# Target center=                 (0, 0, -0.3)
# Origin: Center of implantation=(0, 0, -0.300054)
# Origo: Center of target=       (0, 0, -0.300054)
# Solid angles of pixels of U2
# Max solid angle is  0.00527376
# 1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	
#0.00262968	0.00282568	0.00301413	0.00318806	0.00333999	0.00346254	0.00354916	0.0035949	0.00359704	0.00355543	0.00347258	0.00335325	0.00320384	0.00303172	0.00284436	0.0026488	 1
#0.00282224	0.0030434	0.00325727	0.0034557	0.00362986	0.00377089	0.00387087	0.00392376	0.00392623	0.00387812	0.00378247	0.00364509	0.00347376	0.00327728	0.00306454	0.00284376	 2
#0.00300647	0.0032529	0.00349249	0.00371592	0.00391288	0.00407298	0.00418679	0.00424711	0.00424992	0.00419505	0.00408615	0.00393015	0.00373631	0.00351498	0.00327653	0.00303039	 3
#0.00317545	0.00344608	0.00371048	0.00395817	0.00417741	0.00435622	0.00448366	0.00455131	0.00455447	0.00449293	0.00437095	0.00419667	0.00398083	0.00373536	0.00347209	0.00320166	 4
#0.00332184	0.00361421	0.00390105	0.0041708	0.00441041	0.0046064	0.00474641	0.00482083	0.00482431	0.0047566	0.00462258	0.0044315	0.00419553	0.0039281	0.00364238	0.0033501	 5
#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 6
#0.00351911	0.00384191	0.00416036	0.00446142	0.00473008	0.0049507	0.00510877	0.00519296	0.0051969	0.00512029	0.00496894	0.00475378	0.00448908	0.00419048	0.00387311	0.00355023	 7
#0.00355914	0.00388826	0.00421332	0.00452095	0.00479573	0.00502156	0.00518346	0.00526972	0.00527376	0.00519527	0.00504024	0.00481998	0.00454923	0.00424409	0.00392009	0.00359085	 8
#0.00355617	0.00388482	0.00420939	0.00451653	0.00479086	0.0050163	0.00517791	0.00526402	0.00526805	0.0051897	0.00503495	0.00481507	0.00454477	0.00424011	0.00391661	0.00358784	 9
#0.00351039	0.00383182	0.00414884	0.00444847	0.00471581	0.00493531	0.00509255	0.00517629	0.00518021	0.00510401	0.00495345	0.00473939	0.004476	0.00417882	0.00386288	0.00354138	 10
#0.00342451	0.00373256	0.00403565	0.00432147	0.00457597	0.00478457	0.00493381	0.00501322	0.00501694	0.00494468	0.0048018	0.00459839	0.0043477	0.00406428	0.00376228	0.00345425	 11
#0.00330341	0.003593	0.00387696	0.00414389	0.00438088	0.00457465	0.00471303	0.00478658	0.00479002	0.0047231	0.00459064	0.00440172	0.00416834	0.00390373	0.00362089	0.0033314	 12
#0.00315349	0.00342092	0.00368203	0.00392649	0.00414277	0.00431907	0.00444469	0.00451136	0.00451448	0.00445382	0.0043336	0.00416176	0.00394885	0.00370659	0.00344662	0.00317939	 13
#0.00298199	0.003225	0.00346109	0.00368111	0.00387496	0.00403244	0.00414435	0.00420365	0.00420642	0.00415248	0.00404539	0.00389194	0.00370118	0.00348324	0.00324828	0.00300558	 14
#0.00279623	0.00301392	0.00322426	0.00341929	0.00359035	0.00372879	0.0038269	0.00387879	0.00388122	0.00383402	0.00374016	0.0036053	0.00343703	0.00324394	0.00303471	0.00281741	 15
#0.00260302	0.00279564	0.00298069	0.00315136	0.00330034	0.00342044	0.0035053	0.0035501	0.00355219	0.00351145	0.00343028	0.00331333	0.00316684	0.00299795	0.00281399	0.00262182	 16
#Angle distribution of uniform hits over the detector accounted for solid angle ofU2
# FI	BI	Angle
1	1	0.657591	498
1	1	0.658102	498
1	1	0.641019	498
1	1	0.668482	498
1	1	0.648586	498
1	1	0.677766	498
1	1	0.653462	498
1	1	0.652467	498
1	1	0.657953	498
1	1	0.658765	498
1	1	0.656616	498
1	1	0.679957	498
1	1	0.656786	498
1	1	0.646561	498
1	1	0.672718	498
1	1	0.657388	498
1	1	0.653255	498
1	1	0.672102	498
1	1	0.663278	498
1	1	0.656103	498
1	1	0.666774	498
1	1	0.653478	498
1	1	0.654469	498
1	1	0.65652	498
1	1	0.636453	498
1	1	0.678967	498
1	1	0.637752	498
1	1	0.66618	498
1	1	0.668651	498
1	1	0.665093	498
1	1	0.656445	498
1	1	0.675995	498
1	1	0.665948	498
1	1	0.656455	498
1	1	0.66179	498
1	1	0.682533	498
1	1	0.658919	498
1	1	0.655276	498
1	1	0.654932	498
1	1	0.650642	498
1	1	0.665589	498
1	1	0.671951	498
1	1	0.639785	498
1	1	0.658498	498
1	1	0.672016	498
1	1	0.634759	498
1	1	0.668968	498
1	1	0.65522	498
1	1	0.662117	498
1	1	0.675577	498
1	1	0.66035	498
1	1	0.653357	498
1	1	0.639535	498
1	1	0.657907	498
1	1	0.646196	498
1	1	0.637865	498
1	1	0.636995	498
1	1	0.638535	498
1	1	0.656109	498
1	1	0.669399	498
1	1	0.649704	498
1	1	0.674331	498
1	1	0.67179	498
1	1	0.667477	498
1	1	0.663462	498
1	1	0.680196	498
1	1	0.656145	498
1	1	0.660708	498
1	1	0.637287	498
1	1	0.665948	498
1	1	0.653925	498
1	1	0.660158	498
1	1	0.63436	498
1	1	0.63839	498
1	1	0.661443	498
1	1	0.656717	498
1	1	0.661196	498
1	1	0.646213	498
1	1	0.645715	498
1	1	0.67166	498
1	1	0.658157	498
1	1	0.647154	498
1	1	0.678699	498
1	1	0.665321	498
1	1	0.64212	498
1	1	0.657034	498
1	1	0.626065	498
1	1	0.663251	498
1	1	0.674862	498
1	1	0.634181	498
1	1	0.640985	498
1	1	0.656871	498
1	1	0.653299	498
1	1	0.643089	498
1	1	0.646493	498
1	1	0.656427	498
1	1	0.664998	498
1	1	0.653462	498
1	1	0.648198	498
1	1	0.665684	498
1	1	0.643899	498
1	1	0.651503	498
1	1	0.667859	498
1	1	0.640138	498
1	1	0.6628	498
1	1	0.656053	498
1	1	0.63083	498
1	1	0.63676	498
1	1	0.637615	498
1	1	0.65271	498
1	1	0.670351	498
1	1	0.656954	498
1	1	0.671874	498
1	1	0.659225	498
1	1	0.669248	498
1	1	0.660069	498
1	1	0.64125	498
1	1	0.653817	498
1	1	0.681457	498
1	1	0.629912	498
1	1	0.644766	498
1	1	0.639926	498
1	1	0.668209	498
1	1	0.634641	498
1	1	0.675909	498
1	1	0.655459	498
1	1	0.652536	498
1	1	0.676322	498
1	1	0.642798	498
1	1	0.636116	498
1	1	0.647604	498
1	1	0.671794	498
1	1	0.668163	498
1	1	0.632721	498
1	1	0.668528	498
1	1	0.661391	498
1	1	0.649002	498
1	1	0.655466	498
1	1	0.651205	498
1	1	0.665206	498
1	1	0.639348	498
1	1	0.66067	498
1	1	0.64773	498
1	1	0.661881	498
1	1	0.657412	498
1	1	0.646238	498
1	1	0.647365	498
1	1	0.650544	498
1	1	0.63641	498
1	1	0.658992	498
1	1	0.670411	498
1	1	0.675787	498
1	1	0.642763	498
1	1	0.643282	498
1	1	0.653585	498
1	1	0.664579	498
1	1	0.671969	498
1	1	0.635811	498
1	1	0.676517	498
1	1	0.679007	498
1	1	0.628737	498
1	1	0.641517	498
1	1	0.665821	498
1	1	0.660143	498
1	1	0.658493	498
1	1	0.652988	498
1	1	0.634047	498
1	1	0.634264	498
1	1	0.661366	498
1	1	0.64227	498
1	1	0.652656	498
1	1	0.649591	498
