# E1 E2 Theta
1.226300614277513660e+03 1.772974958744816149e+03 1.523241579121157372e+02
2.713530518069059326e+03 1.556592714747911941e+03 8.814473956186938608e+01
2.948189785192555064e+03 1.033153619351595125e+03 3.285641757274203911e+01
2.687151931962976960e+03 1.408985658263751702e+03 3.859766426114906324e+01
2.947309492528768715e+03 1.625023664380750688e+03 1.542888182136995852e+02
2.141926219136349573e+03 1.773194501706263281e+03 9.376273903577305191e+01
3.970819392936299664e+03 1.309377085942658141e+03 8.618748613312988027e+01
2.059316202315059400e+03 1.378644900041250821e+03 1.460861309965990813e+02
9.942238110451498869e+02 1.406805376937374604e+03 1.229445771236307223e+02
1.863591751873398380e+03 2.456560313341409255e+03 9.844724075483119918e+01
1.833414750953971861e+03 2.269181691644939292e+03 3.425368165102331375e+01
2.822963174205312953e+03 1.355971790328557063e+03 9.119066439834281823e+01
2.446185300197510060e+03 1.977238057885143007e+03 1.518144822849768047e+02
3.290977448091088718e+03 2.627608308028501597e+03 1.048659958284258380e+02
3.252372203861783873e+03 2.619022302963699531e+03 1.105473251492237097e+02
4.344849998253542253e+03 1.005395857413795738e+03 6.600299017726059958e+01
1.952066675266177981e+03 1.326017570731333535e+03 4.594095071785109496e+01
1.345986463244389824e+03 2.680046296073190661e+03 7.686772502804880958e+01
2.851019603442946391e+03 1.340338567209735629e+03 7.710204005379551973e+01
4.390954520778554070e+03 1.582153369312534096e+03 1.687523116274819870e+02
2.401239192244335754e+03 1.847272270009482327e+03 8.933185072072140542e+01
2.964411134912024863e+03 1.270240960291298279e+03 1.078851719097056616e+02
5.063972898654119490e+03 1.160590972125903590e+03 9.093356000869769673e+01
1.619337034227994991e+03 1.058117320395139359e+03 1.411445441642268577e+02
2.949989143647349465e+03 1.499753242463531933e+03 1.731627567991438070e+02
1.374703970821636858e+03 1.036502387716222074e+03 8.605181936397934805e+01
2.039892692871546387e+03 1.286962565587559084e+03 1.051998074181696126e+02
1.994000145396464404e+03 1.124223292204417930e+03 1.338578694178072226e+01
2.627643680216863686e+03 1.403804713193483622e+03 1.024381561499797471e+02
2.855085421106857211e+03 1.315622960900660701e+03 1.407512207326635121e+02
4.055982106706162085e+03 1.866085893552626658e+03 8.747879251830853775e+01
1.751057767000700551e+03 2.135858459650997247e+03 1.297397598433572341e+02
2.949562707737524306e+03 9.271812922898346869e+02 2.857958336671414656e+01
2.544659079958559687e+03 1.723525766110454697e+03 9.540105528511637090e+01
2.707237317810239347e+03 1.058581641076606957e+03 1.536072353473245187e+02
2.460341256143602550e+03 1.681338370528834048e+03 6.356638370527512905e+01
3.560849768501611379e+03 1.199337299256104416e+03 1.482611238365883253e+02
2.767181339800471505e+03 1.685192950107496017e+03 1.196551454574494926e+02
1.694261083880866636e+03 1.512257052168888549e+03 3.297359618457553410e+01
6.163094240643979447e+02 7.004818028612236276e+02 2.813503583058597712e+01
6.362357029577750609e+02 6.234767207400758480e+02 2.886052691354029420e+01
1.065992125507638548e+03 1.303508787200883717e+03 6.947766908994817925e+01
2.693506338251881516e+03 1.522365503831595561e+03 1.677409068128378635e+02
2.501234467275481165e+03 1.107141384762395774e+03 1.071361428368423248e+02
4.795416916228101400e+03 1.065356552091146114e+03 1.020008997575744871e+02
2.844037243309513997e+03 1.657782610975877105e+03 8.469872286762993951e+01
1.935509578238670429e+03 1.236325343236068420e+03 8.323749143338498868e+01
2.458736213914535256e+03 2.668422160833659746e+03 9.187825401634366074e+01
2.781551823490081006e+03 9.763707323524996582e+02 6.259109905147028741e+01
1.962385763343308554e+03 9.204775384047190983e+02 2.228069356825589153e+01
2.474035376831258418e+03 1.140812234792728304e+03 3.493688969836283320e+01
5.843355407734082974e+02 3.689574347032530000e+02 7.717462154073025715e+00
9.602428732996949066e+02 1.599621385813677762e+03 1.061194726703975135e+02
2.699211729283957538e+03 1.605251830451931255e+03 1.052560289765016677e+02
3.318534390702038763e+03 9.421130183009723851e+02 8.247080067881275056e+01
2.931396291830087648e+03 1.352350447419738202e+03 1.555048280103546290e+02
2.777071344188066178e+03 1.930174581658582611e+03 1.238330679163764785e+02
1.772547229395206841e+03 2.425567775755063849e+03 3.920889460637475565e+01
1.137887052339809998e+03 1.256466710408373501e+03 1.552811975873016763e+02
2.785664380146774874e+03 1.212923774872746208e+03 1.640104411292813609e+02
4.404453241540339150e+03 1.482907461826262761e+03 1.168001309361484203e+02
1.134650358996837440e+03 1.368572270282092404e+03 1.231470510040981452e+02
2.796745817876845649e+03 1.453917150949995403e+03 3.101100668362413160e+01
4.214533206753240847e+03 1.835103637515266655e+03 1.632946970437680250e+02
3.330718050278248938e+03 1.105387459823738936e+03 3.265516811265536745e+01
2.690270395577157160e+03 3.119048489120365048e+03 7.567961803628534767e+01
2.998822851157040077e+03 1.439943440168601910e+03 1.729044113979534529e+02
2.461641361944374694e+03 1.609164021485020157e+03 7.396816899590250216e+01
2.822183533834789159e+03 1.837375738139555779e+03 9.786598286311716777e+01
2.438356349161082562e+03 9.591106800281606866e+02 1.048193684549363525e+02
3.078423973400786053e+03 9.248700578751739840e+02 1.039601827355332944e+02
1.415291031679878415e+03 1.977121563800762260e+03 1.073372881420720688e+02
3.224263902243445045e+03 8.850885351789559081e+02 1.222078082717739278e+01
2.567176011332604503e+03 3.241321564728977592e+03 8.492831634540631569e+01
2.486256829956488218e+03 1.940499578767707590e+03 1.428609759353038555e+02
1.849761708421380263e+03 2.376864243703850661e+03 9.359976636746645795e+01
3.030203581841068171e+03 1.367338795383339175e+03 8.801702502577686005e+01
7.884353596601409890e+02 6.847288851634085631e+02 2.668901789879136999e+01
6.837221304629183578e+02 8.176337838424052507e+02 2.903431199976205335e+01
6.313375459205424249e+02 6.213423963072061724e+02 2.621708057124109104e+01
6.558831934078147015e+02 6.369929649094051456e+02 2.598474693984159956e+01
4.063845507740183621e+03 1.605300033864273473e+03 5.305018581504208441e+01
1.171239316602828012e+03 1.996801246965230121e+03 5.658622192560434172e+01
1.288016512682815801e+03 1.050209478211298347e+03 3.019551459241222346e+01
2.617899687193061254e+03 1.792846538192594835e+03 1.295750587675278211e+02
3.289982998298517941e+03 1.284079704160416668e+03 7.331313929903745930e+01
1.039364010668321725e+03 1.290535223034915589e+03 7.878073309804425151e+01
2.233275143917989681e+03 1.863123534994506599e+03 3.036896713387448798e+01
3.463394261633069164e+03 2.617139337772278395e+03 1.643644054359729694e+02
2.178416595468794640e+03 1.020661345217726193e+03 7.838512907429277732e+01
1.077992145629312063e+03 1.938875300535828273e+03 9.954910492747816875e+01
1.624570413040334188e+03 1.988525978095095070e+03 1.367376782304204426e+02
1.816254390141591784e+03 9.784072196434344733e+02 8.326718401693996441e+01
2.750996076318708674e+03 1.571933375337754114e+03 9.375009290049882793e+01
2.702132024023865142e+03 1.657596336237825426e+03 1.276036399858291901e+02
2.809572205831993415e+03 1.130428839608367753e+03 5.285316738901780553e+01
4.029631640847101153e+03 1.677977769516544186e+03 6.969349240037730908e+01
1.941855413417853697e+03 9.829994809732148724e+02 5.394523605856077353e+01
3.476080207820586111e+03 1.725225733030380070e+03 4.681649529897854478e+01
8.222205661666339438e+03 1.330091510727389277e+03 5.876104219866491007e+01
4.011237769888334242e+03 1.750711829740298754e+03 7.407610068219693744e+01
4.558901843930024370e+03 1.288656652923541287e+03 1.094625057965010058e+02
1.895141600377856321e+03 2.193045771874183174e+03 2.583802607079254088e+01
1.185578303423180614e+03 2.375619469051758642e+03 7.000070588118484238e+01
3.006245430830298119e+03 1.237939743693110358e+03 1.072372308154595117e+02
2.823757643958320841e+03 1.039706699765628855e+03 3.575024238157503476e+01
4.266087931329851926e+03 1.736487943380368051e+03 8.534021373820752387e+01
2.213885220528494756e+03 2.083134005074430206e+03 1.401934730484520912e+02
2.793521687870515507e+03 1.677339453147948007e+03 1.595090869789115970e+02
4.072565752095511016e+03 1.517066194085428833e+03 2.677735555899020525e+01
1.272357629169208849e+03 2.364154230426042432e+03 8.111633758455226939e+01
2.582755342477395516e+03 1.655085151443664927e+03 9.214388112436888889e+01
9.300794957007032053e+02 1.620284915080102564e+03 8.036830402870739931e+01
1.867969133929257623e+03 2.130160053589082509e+03 1.141943568397878863e+02
2.322132936139818412e+03 1.785480952181619614e+03 1.163326644302225255e+01
3.801234248540455610e+03 1.033950803153079505e+03 8.755831555264096266e+01
1.416951852531007489e+03 1.415462007609452257e+03 4.881895540708211634e+00
4.485178584375833452e+03 1.579444477131169378e+03 1.530942684531539442e+02
2.664395254067286260e+03 3.281680039199503426e+03 1.018044253811806925e+02
6.016842981554657399e+02 4.877928043390756102e+03 1.715641397620672706e+02
1.753014633111055673e+03 3.250429769650394519e+03 1.448654573295556816e+02
1.507180105356009335e+03 3.271001480462690324e+03 1.496407868376950319e+02
2.691038568643864437e+03 1.698566508491419654e+03 1.170161374712082960e+02
9.253981607616887004e+02 2.204447203079975679e+03 1.500723291221412659e+01
2.708792749222505336e+03 1.851074640047331741e+03 7.766878838548531405e+01
6.581015579131513960e+02 7.521489160328914068e+02 2.711468093253331091e+01
6.860621660864386513e+02 6.760676721177362651e+02 2.511538097262465286e+01
6.271987505902485509e+02 4.887796821120748064e+03 1.668124489168788216e+02
2.575030133643455429e+03 1.194205983217169432e+03 8.781708546609313260e+01
4.518763466166730723e+03 1.028447666998064051e+03 8.192049705612477339e+01
2.074191339089594749e+03 1.125964318040427088e+03 2.857712018932801001e+01
3.600122462489185182e+03 1.025768958202343583e+03 8.265223702540238548e+01
2.052019497056774071e+03 2.382202710995914458e+03 1.602236489001117548e+02
2.299132679807596105e+03 1.650158664632277578e+03 5.448524407173579220e+01
2.454164208586933455e+03 1.600067140928907975e+03 3.055436426184324716e+01
2.379129971108305654e+03 9.783666890059339494e+02 1.241987702383877377e+02
1.765915400786256441e+03 1.680126755014538048e+03 1.521018570431353965e+02
2.010865066230827551e+03 1.359934342005460849e+03 8.574764974629528069e+01
1.235284284066651026e+03 2.019445840854389871e+03 8.615655201567665245e+01
1.972395702285833977e+03 1.670166817660634933e+03 1.200323000049867233e+02
2.811546812781297376e+03 1.036362231327088466e+03 2.877975143737591068e+01
2.067672335961353383e+03 1.728199666543947387e+03 1.828339688190075307e+01
1.260905289659431901e+03 9.800097675854060526e+02 4.323239424029802791e+01
2.036471804317903207e+03 2.230259307612576322e+03 8.495396760709634520e+01
2.328285983419839795e+03 1.612041130486742986e+03 7.124197857643294185e+01
1.522736599410312465e+03 7.947256096532546508e+02 4.423496045345806493e+01
4.268885567523829195e+03 1.369612096345544614e+03 3.733321816133911142e+01
2.683233115960812029e+03 1.714152906809251590e+03 6.804261639390473704e+01
1.919893876736834272e+03 1.419465683932542333e+03 1.126875947317848130e+02
3.349860400414858304e+03 2.123665325352451418e+03 3.017921961546300125e+01
2.417019541212423064e+03 1.838803709932255288e+03 9.691017922737005108e+01
6.768619590467915259e+02 6.538887086388118632e+02 2.745043299188836627e+01
7.843064094877080379e+02 6.780669650175941570e+02 2.869939840793388086e+01
1.802949718696432228e+03 2.642697951884708345e+03 1.385507384782016800e+02
1.381017438828172544e+03 1.551915971335479526e+03 1.669475311005590186e+02
3.565866728045000400e+03 1.367176897394618209e+03 1.487514080280126620e+02
1.338039291197380408e+03 1.588462186435257536e+03 1.066711243094208896e+02
7.322563183402476170e+02 1.009056609985221144e+03 7.031372740191866910e+01
1.344298890025934725e+03 1.024481831608478387e+03 1.054194056792810983e+02
2.241252428946941563e+03 1.683740012184839543e+03 9.815825473936462231e+01
4.748589679629075363e+03 1.236385727938803484e+03 1.622989486432534250e+02
1.165283669999934091e+03 1.774252110123961984e+03 3.043674654565095850e+01
1.870045954175546058e+03 1.563168941141885853e+03 1.180623464506706739e+02
1.156949649946285945e+03 3.669916297245757050e+03 8.443999737038243580e+00
2.327818691995148583e+03 1.660189308860485653e+03 5.404201705373914422e+01
3.222957392475579582e+03 1.454302021874473894e+03 1.049250810548977597e+02
2.127095556119131288e+03 2.250552719885675288e+03 1.139791649753109226e+02
5.292933174762453746e+03 1.290037314583891430e+03 1.623654818081795099e+02
1.732725195818745760e+03 2.149421195413073747e+03 7.092515610739251031e+01
2.726401263436592671e+03 1.192039032948747263e+03 1.765479628414104951e+01
2.761048306169572243e+03 1.585579170099144903e+03 5.435396547180339866e+01
7.284219212380721729e+02 7.280487120851655618e+02 2.763384957529527952e+01
8.026009647830185258e+02 6.819633808622696733e+02 2.951351068361545416e+01
4.223223042217247894e+03 1.512163752450854417e+03 7.855183146642755787e+01
7.240147123019125956e+02 7.017027689770974348e+02 2.804545833679823019e+01
6.449995675025509172e+02 6.122852804431377081e+02 3.373005292879481942e+01
2.673952916768311752e+03 1.260394043579754680e+03 9.237503937804338250e+01
2.366358062531543055e+03 1.940390654306786473e+03 8.713259698241432716e+01
1.719130321108603539e+03 1.799752337405903290e+03 5.815687929150460178e+01
1.702540127523610636e+03 1.046503497593866996e+03 7.504132279572439757e+01
3.031229861407540284e+03 2.114337076508462815e+03 1.580509371053875327e+02
2.198210839102718637e+03 1.262803317339400110e+03 8.178226717259518352e+01
1.072527196378254303e+03 2.235551415888306565e+03 1.012504458195117074e+01
1.769866690529383504e+03 1.200960632352996981e+03 8.861303152368502367e+01
3.496413894898614217e+03 1.506405263866714449e+03 1.243938114222233935e+02
7.276125504617782553e+02 4.879361580337067608e+03 1.681190825478592501e+02
1.320488063357172905e+03 3.394432272640859992e+03 8.299206922813996812e+01
3.231079589787244458e+03 1.160945935395724746e+03 1.311829653740153958e+02
2.716349011779721877e+03 1.661671044809939531e+03 1.200008720901224990e+02
1.186027253460205429e+03 2.142939380854532374e+03 5.359528348491800642e+01
7.923738682760006213e+02 7.772765577331081204e+02 4.003805882615314005e+01
3.404669061208308449e+03 1.910611799324692811e+03 7.832877762017629664e+01
6.811975893798714878e+02 6.632857616834797909e+02 2.692958752707059134e+01
7.095470328279943715e+02 6.288727588944342415e+02 2.878966494753367300e+01
2.572566254931975891e+03 3.088288053567717725e+03 5.139545792874527308e+01
2.813306636606376742e+03 1.382614118556856283e+03 4.727350329913941351e+01
2.755178418389170929e+03 1.407267188553646292e+03 6.304024227952554327e+01
2.610721307101529419e+03 1.073094554546706149e+03 1.026601701639995952e+02
2.771798027288145931e+03 1.413275620196042382e+03 8.912642169691793015e+01
3.567706137259579464e+03 9.900043314504504224e+02 6.764638278787302283e+01
2.871910020016261115e+03 1.365977578912212721e+03 1.045446765481065370e+02
1.417660424105485617e+03 1.387822342501336379e+03 5.437387053562330763e+00
2.453570911798261932e+03 1.843561719946770836e+03 7.398688945515984017e+01
1.948304486495496349e+03 1.568614729926292966e+03 9.953835912520945328e+01
3.470921107826918160e+03 1.959191511225831846e+03 1.547973890175865961e+02
6.540666213870234742e+02 6.507466439568053147e+02 2.784870590706363558e+01
6.830850374251044741e+02 6.755392309789289129e+02 2.835261485557402850e+01
1.660617846669513710e+03 1.832985627601490933e+03 1.040053594666543120e+02
2.384117866289796439e+03 1.856842995266486241e+03 8.154150970380554497e+01
1.017406540921259307e+03 1.280061789585523002e+03 3.944852910590879702e+01
2.085605737299426892e+03 1.264749216078717836e+03 9.025541914655924813e+01
2.611079075612099132e+03 1.707604095100622544e+03 9.998449521845350318e+01
1.826906028774573542e+03 2.241200554429449312e+03 2.625665216322502005e+01
4.793638317499249752e+03 1.052477986398903340e+03 9.760563854191761379e+01
3.885343714829906276e+03 1.030196892054427735e+03 7.663685421089635952e+01
3.028511067671284763e+03 1.277085106904474969e+03 5.923092368048329348e+01
3.340386991663754543e+03 8.996231299077588801e+02 8.529454707550708292e+01
2.299181717474904417e+03 1.833098008270038463e+03 6.963955985259441661e+01
3.136860480835030558e+03 1.049479900235588502e+03 1.657428902326070386e+02
2.934677135016608190e+03 1.713099250161301143e+03 1.625467994550191975e+02
2.706713503517848494e+03 1.291027561411994839e+03 4.821324211342179211e+01
3.196114296571609430e+03 2.648092516712276392e+03 8.113580039487266049e+01
1.739622857814502822e+03 1.080911454841516615e+03 1.031749408977719611e+02
1.292080640959029552e+03 2.081380112925232424e+03 9.859673058189032702e+01
2.217088691420960913e+03 2.172352130557114378e+03 1.177384538591008720e+02
3.002394428978579526e+03 1.098268465274300979e+03 2.075210254422156453e+01
1.257156419830308778e+03 1.972280563914461482e+03 8.805326036823151981e+01
2.095519082827680904e+03 1.369824957750305884e+03 1.415288470538709475e+02
