# Wed Apr 30 10:01:59 2025
# Output created from within /home/haue/repositories/Masters/build with the following command
# ./calibration/ucal/printEnergyCorrections -s ../setup/setup.json -t ../setup/target.json -d U1,U2,U3,U4 -E 385.72,904.02,1843.18,2076.74,2217.45,3337.75,4089.18,5402.61 -i 17 
# Setup:          ../setup/setup.json
# Target:         ../setup/target.json
# Source point:   (0, 0, -0.300054)
# Energies (keV): 385.72 904.02 1843.18 2076.74 2217.45 3337.75 4089.18 5402.61 
# Detector=U1	FRONT STRIPS 2..15
364.285	891.097	1835.3	2069.43	2210.44	3332.53	4084.77	5398.98	# 4
364.018	890.952	1835.22	2069.35	2210.36	3332.48	4084.73	5398.94	# 5
363.609	890.723	1835.08	2069.23	2210.24	3332.39	4084.65	5398.88	# 6
363.03	890.395	1834.89	2069.05	2210.07	3332.26	4084.55	5398.8	# 7
362.248	889.95	1834.63	2068.81	2209.84	3332.09	4084.4	5398.68	# 8
361.226	889.366	1834.28	2068.48	2209.53	3331.86	4084.21	5398.52	# 9
359.913	888.614	1833.83	2068.07	2209.13	3331.57	4083.96	5398.32	# 10
358.245	887.659	1833.26	2067.54	2208.62	3331.19	4083.65	5398.06	# 11
356.139	886.454	1832.54	2066.87	2207.99	3330.72	4083.25	5397.73	# 12
353.479	884.936	1831.63	2066.03	2207.18	3330.13	4082.75	5397.32	# 13
350.102	883.013	1830.48	2064.97	2206.16	3329.38	4082.12	5396.8	# 14
345.766	880.551	1829.01	2063.61	2204.86	3328.41	4081.31	5396.14	# 15
# Detector=U3	BACK STRIPS 2..15
353.889	885.153	1831.75	2066.15	2207.29	3330.2	4082.81	5397.37	# 2
354.792	885.677	1832.07	2066.44	2207.57	3330.41	4082.99	5397.52	# 3
355.588	886.14	1832.34	2066.7	2207.82	3330.6	4083.14	5397.64	# 4
356.268	886.535	1832.58	2066.92	2208.03	3330.75	4083.28	5397.75	# 5
356.825	886.859	1832.78	2067.1	2208.2	3330.88	4083.39	5397.84	# 6
357.251	887.107	1832.93	2067.24	2208.33	3330.98	4083.47	5397.91	# 7
357.54	887.275	1833.03	2067.33	2208.42	3331.05	4083.53	5397.96	# 8
357.69	887.362	1833.08	2067.38	2208.47	3331.08	4083.56	5397.98	# 9
357.697	887.366	1833.09	2067.38	2208.47	3331.08	4083.56	5397.98	# 10
357.561	887.287	1833.04	2067.34	2208.43	3331.05	4083.53	5397.96	# 11
357.285	887.126	1832.94	2067.25	2208.34	3330.99	4083.48	5397.92	# 12
356.872	886.886	1832.8	2067.11	2208.22	3330.89	4083.4	5397.85	# 13
356.328	886.569	1832.6	2066.94	2208.05	3330.77	4083.29	5397.76	# 14
355.659	886.181	1832.37	2066.72	2207.84	3330.61	4083.16	5397.66	# 15

# Detector=U4	FRONT STRIPS 2..15
375.797	897.771	1839.29	2073.12	2213.97	3335.14	4086.97	5400.78	# 2
375.988	897.894	1839.37	2073.19	2214.04	3335.19	4087.01	5400.82	# 3
376.141	897.993	1839.43	2073.25	2214.1	3335.24	4087.05	5400.85	# 4
376.252	898.066	1839.48	2073.3	2214.14	3335.27	4087.07	5400.87	# 5
376.315	898.11	1839.51	2073.32	2214.17	3335.29	4087.09	5400.88	# 6
376.326	898.121	1839.51	2073.33	2214.18	3335.29	4087.1	5400.89	# 7
376.279	898.096	1839.5	2073.32	2214.16	3335.28	4087.09	5400.88	# 8
376.167	898.032	1839.46	2073.28	2214.13	3335.26	4087.07	5400.86	# 9
375.983	897.924	1839.4	2073.22	2214.07	3335.22	4087.03	5400.84	# 10
375.719	897.767	1839.3	2073.14	2213.99	3335.16	4086.98	5400.79	# 11
375.362	897.554	1839.17	2073.02	2213.87	3335.07	4086.91	5400.73	# 12
374.897	897.276	1839.01	2072.86	2213.72	3334.96	4086.82	5400.66	# 13
374.303	896.921	1838.79	2072.66	2213.53	3334.82	4086.7	5400.56	# 14
373.545	896.47	1838.52	2072.41	2213.29	3334.64	4086.54	5400.43	# 15
# Detector=U4	BACK STRIPS 2..15
374.118	896.779	1838.69	2072.57	2213.44	3334.75	4086.64	5400.51	# 2
374.461	896.992	1838.83	2072.69	2213.56	3334.84	4086.71	5400.57	# 3
374.767	897.181	1838.94	2072.8	2213.67	3334.91	4086.78	5400.62	# 4
375.034	897.347	1839.04	2072.9	2213.76	3334.98	4086.83	5400.67	# 5
