============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(5,41 MeV) ==> Silicon( 68.3 um) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   43  1 ,4460163E+07   6830025E-01 -,9023E+04 -,4268E+04   ,9995949 -,0277378 -,0063754
T   44  1 ,4466433E+07   6830007E-01  ,7493E+04 -,6186E+04   ,9998621  ,0113773 -,0120998
T   45  1 ,4530675E+07   6830013E-01  ,1900E+04 -,3474E+04   ,9998700  ,0156863 -,0037207
T   46  1 ,4472315E+07   6830011E-01 -,8653E+04 -,6585E+04   ,9999130 -,0130741 -,0017767
T   47  1 ,4478720E+07   6830021E-01  ,2234E+04 -,2716E+04   ,9999813 -,0028184 -,0054280
T   48  1 ,4456388E+07   6830022E-01 -,6159E+04  ,1779E+05   ,9992201 -,0176571  ,0353178
T   49  1 ,4485079E+07   6830024E-01  ,1351E+05  ,1055E+05   ,9991415  ,0363026  ,0199591
T   50  1 ,4456115E+07   6830026E-01 -,2574E+05 -,1104E+05   ,9981518 -,0485562 -,0365407
T   51  1 ,4482872E+07   6830005E-01  ,4772E+04 -,3063E+04   ,9999220  ,0024275  ,0122541
T   52  1 ,4507897E+07   6830026E-01  ,2655E+02  ,6530E+04   ,9999552  ,0002165  ,0094672
T   53  1 ,4433717E+07   6830010E-01  ,2316E+04  ,4437E+04   ,9999187  ,0124589  ,0027033
T   54  1 ,4506597E+07   6830013E-01 -,3665E+04  ,1118E+04   ,9998104 -,0192079 -,0031972
T   55  1 ,4502397E+07   6830016E-01  ,8897E+04 -,1257E+04   ,9997611  ,0155875 -,0153209
T   56  1 ,4496705E+07   6830027E-01 -,4312E+04  ,1537E+05   ,9995399 -,0093150  ,0288650
T   57  1 ,4499246E+07   6830027E-01  ,1401E+04  ,3490E+04   ,9994782 -,0321936 -,0026200
T   58  1 ,4496632E+07   6830017E-01 -,6115E+04 -,1283E+04   ,9999695  ,0077620  ,0008419
T   59  1 ,4433963E+07   6830007E-01 -,1528E+05  ,4425E+04   ,9986032 -,0508263  ,0144340
T   60  1 ,4424949E+07   6830002E-01 -,1830E+05  ,2402E+05   ,9895259 -,1009958  ,1031426
T   61  1 ,4455864E+07   6830006E-01 -,8634E+03  ,7973E+04   ,9998090 -,0166144  ,0102894
