============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(4,09 MeV) ==> Silicon( 52.5 um) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 ,3058024E+07   5250012E-01  ,3054E+06  ,6782E+04   ,8588861  ,5119826  ,0137264
T    2  1 ,3060554E+07   5250005E-01  ,3241E+06 -,3255E+04   ,8503301  ,5211778 -,0728870
T    3  1 ,3058201E+07   5250021E-01  ,2912E+06 -,1011E+05   ,8842074  ,4580541 -,0914532
T    4  1 ,2979816E+07   5250010E-01  ,3302E+06  ,8014E+04   ,8299637  ,5571120  ,0280443
T    5  1 ,3043346E+07   5250005E-01  ,2956E+06 -,9847E+04   ,8777252  ,4781883 -,0305687
T    6  1 ,3090035E+07   5250022E-01  ,3148E+06 -,3233E+04   ,8580842  ,5135090 -,0000763
T    7  1 ,3085310E+07   5250019E-01  ,3069E+06  ,2345E+04   ,8478398  ,5268672 -,0598213
T    8  1 ,3084398E+07   5250010E-01  ,3102E+06 -,2075E+04   ,8631746  ,5047448 -,0127365
T    9  1 ,3037898E+07   5250001E-01  ,2819E+06 -,1435E+05   ,8806329  ,4727630 -,0313172
T   10  1 ,3087273E+07   5250010E-01  ,3003E+06 -,3591E+04   ,8669126  ,4980781 -,0195133
T   11  1 ,3033410E+07   5250002E-01  ,3026E+06 -,6095E+04   ,8650013  ,5017676  ,0014034
T   12  1 ,3056625E+07   5250015E-01  ,2955E+06  ,1590E+05   ,8667637  ,4981073  ,0246937
T   13  1 ,3034666E+07   5250008E-01  ,3000E+06 -,1189E+05   ,8635404  ,5022019 -,0457310
T   14  1 ,3048603E+07   5250006E-01  ,3029E+06 -,6187E+04   ,8586370  ,5123943 -,0139478
T   15  1 ,3075286E+07   5250015E-01  ,2687E+06  ,5714E+05   ,9033177  ,3630160  ,2285531
T   16  1 ,3025869E+07   5250019E-01  ,3151E+06 -,8759E+04   ,8534050  ,5210391 -,0147706
T   17  1 ,3068573E+07   5250011E-01  ,3042E+06 -,1721E+04   ,8595551  ,5108242 -,0149549
T   18  1 ,3074302E+07   5250015E-01  ,3145E+06  ,1175E+05   ,8444130  ,5355174  ,0137041
T   19  1 ,3052588E+07   5250017E-01  ,2941E+06 -,4297E+04   ,8816612  ,4716885 -,0135459
T   20  1 ,3006505E+07   5250003E-01  ,3303E+06  ,1701E+05   ,8347517  ,5491004  ,0409675
T   21  1 ,3045192E+07   5250002E-01  ,2978E+06 -,4439E+04   ,8732478  ,4854771 -,0418359
T   22  1 ,3024686E+07   5250015E-01  ,3149E+06  ,4953E+04   ,8580140  ,5132526  ,0195910
T   23  1 ,3006299E+07   5250005E-01  ,3009E+06  ,5394E+04   ,8658514  ,5000285 -,0165192
T   24  1 ,2982355E+07   5250023E-01  ,2940E+06 -,2869E+05   ,8759163  ,4785107 -,0616297
T   25  1 ,3022491E+07   5250016E-01  ,3036E+06  ,4235E+04   ,8632119  ,5048211 -,0045692
T   26  1 ,3063207E+07   5250020E-01  ,3202E+06  ,1044E+05   ,8361731  ,5481910  ,0173536
T   27  1 ,3017381E+07   5250015E-01  ,2976E+06  ,1865E+05   ,8482938  ,5260826  ,0602889
T   28  1 ,3050414E+07   5250016E-01  ,3035E+06 -,2407E+04   ,8657452  ,5004617 -,0048319
T   29  1 ,2981726E+07   5250018E-01  ,3076E+06 -,4466E+04   ,8518154  ,5227354 -,0340329
T   30  1 ,3034611E+07   5250014E-01  ,3289E+06  ,2245E+05   ,8279553  ,5576929  ,0588957
T   31  1 ,3056247E+07   5250017E-01  ,3006E+06  ,2346E+05   ,8658638  ,4977845  ,0499043
T   32  1 ,3061916E+07   5250006E-01  ,3047E+06  ,1580E+04   ,8559464  ,5170039  ,0079177
T   33  1 ,3050926E+07   5250020E-01  ,2928E+06 -,1071E+05   ,8775984  ,4787367 -,0251431
T   34  1 ,3010593E+07   5250023E-01  ,3047E+06 -,9247E+04   ,8710168  ,4905985 -,0253521
T   35  1 ,3082317E+07   5250006E-01  ,3112E+06 -,1336E+05   ,8440923  ,5351683 -,0332136
T   36  1 ,2999493E+07   5250017E-01  ,3045E+06  ,5782E+04   ,8709217  ,4913741 -,0068439
T   37  1 ,3049949E+07   5250002E-01  ,3177E+06 -,9282E+04   ,8538287  ,5204120 -,0121649
T   38  1 ,3036301E+07   5250010E-01  ,3001E+06  ,9197E+04   ,8678844  ,4967060  ,0077345
T   39  1 ,3078696E+07   5250007E-01  ,3088E+06  ,9966E+04   ,8583797  ,5129088  ,0104321
T   40  1 ,3036395E+07   5250012E-01  ,3119E+06 -,1103E+05   ,8495946  ,5262472 -,0353963
T   41  1 ,3098709E+07   5250019E-01  ,3030E+06 -,5935E+03   ,8674741  ,4974564  ,0050730
T   42  1 ,3107119E+07   5250010E-01  ,2863E+06 -,1592E+05   ,8860851  ,4595811 -,0603190
T   43  1 ,3032722E+07   5250006E-01  ,3187E+06  ,5547E+04   ,8551056  ,5182465  ,0146636
T   44  1 ,3068413E+07   5250010E-01  ,3005E+06 -,3468E+04   ,8643051  ,5029535 -,0037962
T   45  1 ,3085772E+07   5250012E-01  ,2995E+06 -,1520E+05   ,8650289  ,5006312 -,0330667
T   46  1 ,3056629E+07   5250023E-01  ,2998E+06 -,5212E+03   ,8761385  ,4820098 -,0069180
T   47  1 ,3033606E+07   5250003E-01  ,3105E+06  ,5940E+03   ,8619770  ,5069398  ,0027564
T   48  1 ,3072686E+07   5250011E-01  ,2929E+06  ,6823E+04   ,8827912  ,4696709  ,0094342
T   49  1 ,3049492E+07   5250006E-01  ,3051E+06 -,3757E+04   ,8644856  ,5025827 -,0086802
T   50  1 ,3007222E+07   5250018E-01  ,3057E+06 -,3868E+04   ,8612066  ,5071296 -,0338043
T   51  1 ,3023177E+07   5250017E-01  ,2789E+06  ,4743E+04   ,8924397  ,4509557  ,0137996
T   52  1 ,3056754E+07   5250002E-01  ,3056E+06 -,1611E+05   ,8646693  ,4980411 -,0655898
T   53  1 ,3059376E+07   5250019E-01  ,3172E+06  ,5860E+04   ,8494700  ,5270889  ,0240427
T   54  1 ,3050698E+07   5250018E-01  ,2936E+06  ,1447E+05   ,8772664  ,4761053  ,0610532
T   55  1 ,2920645E+07   5250009E-01  ,3082E+06 -,1009E+05   ,8512801  ,5189308 -,0776723
T   56  1 ,3066407E+07   5250006E-01  ,3143E+06 -,6929E+04   ,8583363  ,5130051 -,0091939
T   57  1 ,3055636E+07   5250008E-01  ,3032E+06 -,6581E+04   ,8754438  ,4820136 -,0355124
T   58  1 ,3064942E+07   5250021E-01  ,3006E+06 -,4497E+04   ,8783878  ,4743676 -,0583977
T   59  1 ,3038914E+07   5250019E-01  ,3066E+06  ,1063E+04   ,8669643  ,4983684  ,0013773
T   60  1 ,3072477E+07   5250018E-01  ,3041E+06 -,7498E+04   ,8641876  ,5026166 -,0235857
T   61  1 ,3008224E+07   5250023E-01  ,2984E+06  ,9927E+04   ,8648312  ,5017323  ,0182130
T   62  1 ,3014633E+07   5250009E-01  ,3059E+06 -,1286E+05   ,8583585  ,5107737 -,0482804
T   63  1 ,3094921E+07   5250019E-01  ,2957E+06  ,1199E+05   ,8679123  ,4967134 -,0019960
T   64  1 ,3004259E+07   5250022E-01  ,3082E+06  ,1158E+05   ,8689070  ,4940099  ,0309007
T   65  1 ,3076784E+07   5250023E-01  ,3049E+06  ,1320E+05   ,8676170  ,4945294  ,0517826
T   66  1 ,3024569E+07   5250020E-01  ,3036E+06  ,5073E+04   ,8585617  ,5127084 -,0013796
T   67  1 ,2993751E+07   5250011E-01  ,3214E+06  ,4132E+04   ,8401465  ,5418315  ,0239262
T   68  1 ,3077253E+07   5250013E-01  ,3029E+06  ,5246E+04   ,8676559  ,4968144  ,0186726
T   69  1 ,3110072E+07   5250012E-01  ,2888E+06  ,1673E+05   ,8714734  ,4884003  ,0447137
T   70  1 ,3133345E+07   5250018E-01  ,2999E+06 -,3580E+03   ,8884698  ,4586816 -,0152499
T   71  1 ,3103460E+07   5250017E-01  ,2787E+06  ,5145E+05   ,8772496  ,4699643  ,0978099
T   72  1 ,2973795E+07   5250009E-01  ,3202E+06  ,7166E+04   ,8546860  ,5190236  ,0112437
T   73  1 ,3019392E+07   5250009E-01  ,3166E+06  ,2003E+04   ,8445307  ,5355037  ,0019348
T   74  1 ,3047642E+07   5250008E-01  ,2860E+06  ,9591E+04   ,9008302  ,4318196  ,0451306
T   75  1 ,2991554E+07   5250023E-01  ,3052E+06  ,5098E+02   ,8599777  ,5094531  ,0299318
T   76  1 ,3041375E+07   5250022E-01  ,2998E+06 -,4572E+03   ,8628065  ,5051787 -,0189608
T   77  1 ,3057800E+07   5250017E-01  ,3076E+06 -,9481E+04   ,8617327  ,5071207 -,0156661
T   78  1 ,2999326E+07   5250011E-01  ,2997E+06 -,5486E+04   ,8686127  ,4952752 -,0146454
T   79  1 ,3029985E+07   5250003E-01  ,3046E+06 -,9987E+04   ,8679588  ,4952222 -,0374499
T   80  1 ,3007438E+07   5250017E-01  ,3034E+06 -,6039E+04   ,8661921  ,4994076 -,0174165
T   81  1 ,3020621E+07   5250004E-01  ,2881E+06 -,1187E+05   ,8655349  ,5008476  ,0010234
T   82  1 ,3101869E+07   5250006E-01  ,3137E+06  ,8908E+04   ,8477906  ,5282354  ,0471002
T   83  1 ,3067790E+07   5250008E-01  ,2994E+06 -,7710E+04   ,8752351  ,4828334 -,0289045
T   84  1 ,3065749E+07   5250010E-01  ,2947E+06 -,7954E+04   ,8733429  ,4864032 -,0261548
T   85  1 ,3043549E+07   5250023E-01  ,3115E+06  ,7045E+04   ,8687792  ,4948934  ,0174118
T   86  1 ,3026273E+07   5250017E-01  ,3088E+06  ,5367E+04   ,8574477  ,5135992  ,0316120
T   87  1 ,3035988E+07   5250014E-01  ,3018E+06 -,4702E+05   ,8593515  ,4898027 -,1469977
T   88  1 ,3035316E+07   5250022E-01  ,2979E+06 -,6826E+04   ,8695515  ,4927556 -,0327429
T   89  1 ,3012226E+07   5250020E-01  ,3114E+06 -,5765E+04   ,8469544  ,5316017 -,0082370
T   90  1 ,3113780E+07   5250020E-01  ,2886E+06  ,6952E+04   ,8736325  ,4855518  ,0317126
T   91  1 ,3079811E+07   5250011E-01  ,2996E+06 -,8812E+04   ,8818289  ,4702815 -,0348312
T   92  1 ,3065782E+07   5250011E-01  ,3044E+06 -,2193E+04   ,8669826  ,4983375 -,0009678
T   93  1 ,3046904E+07   5250005E-01  ,3086E+06 -,1264E+05   ,8506614  ,5231789 -,0515656
T   94  1 ,3019755E+07   5250006E-01  ,3004E+06 -,1049E+05   ,8740380  ,4857647 -,0094936
T   95  1 ,3073469E+07   5250000E-01  ,3040E+06  ,1408E+05   ,8712667  ,4892038  ,0396745
T   96  1 ,3024576E+07   5250018E-01  ,3151E+06  ,1304E+05   ,8368269  ,5471401  ,0189318
T   97  1 ,2998142E+07   5250014E-01  ,2991E+06  ,1037E+05   ,8647593  ,5019539  ,0152888
T   98  1 ,3019784E+07   5250007E-01  ,2971E+06  ,3012E+04   ,8774795  ,4796016  ,0034752
T   99  1 ,2998992E+07   5250014E-01  ,3212E+06  ,1060E+05   ,8375411  ,5462029  ,0136888
T  100  1 ,3025108E+07   5250007E-01  ,2910E+06 -,4413E+04   ,8846421  ,4661245 -,0116756
