============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(4,08 MeV) ==> Silicon( 53.2 um) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 ,3183922E+07   5320002E-01 -,5142E+04 -,1095E+04   ,9997516 -,0088515 -,0204526
T    2  1 ,3193949E+07   5320009E-01  ,2018E+04 -,1484E+05   ,9991205 -,0120863 -,0401528
T    3  1 ,3195288E+07   5320009E-01 -,4143E+05 -,7346E+04   ,9955832 -,0812075 -,0471105
T    4  1 ,3131438E+07   5320008E-01  ,2659E+05 -,3907E+05   ,9895773  ,0995379 -,1040620
T    5  1 ,3135211E+07   5320011E-01 -,6612E+04  ,1293E+05   ,9988728 -,0271810  ,0389144
T    6  1 ,3183318E+07   5320023E-01  ,2031E+04 -,5793E+04   ,9997253 -,0000257 -,0234356
T    7  1 ,3144237E+07   5320017E-01 -,3391E+04  ,2384E+04   ,9998954 -,0031773  ,0141123
T    8  1 ,3225074E+07   5320012E-01  ,2291E+03 -,8745E+02   ,9999401  ,0109140  ,0008599
T    9  1 ,3135237E+07   5320023E-01  ,9666E+04  ,1369E+05   ,9971466  ,0060139  ,0752497
T   10  1 ,3184892E+07   5320023E-01 -,5853E+04 -,2880E+04   ,9997712 -,0196650 -,0084134
T   11  1 ,3156510E+07   5320015E-01  ,2368E+04  ,3378E+04   ,9998773  ,0130389  ,0086853
T   12  1 ,3199375E+07   5320018E-01  ,5197E+04 -,9054E+04   ,9990823  ,0229787 -,0361473
T   13  1 ,3196061E+07   5320019E-01  ,1254E+05 -,6894E+04   ,9983319  ,0547773 -,0182443
T   14  1 ,3161233E+07   5320020E-01  ,5337E+04  ,1370E+05   ,9994109 -,0107514  ,0325912
T   15  1 ,3127940E+07   5320006E-01 -,1180E+05  ,1348E+05   ,9878415 -,0967596  ,1216831
T   16  1 ,3197310E+07   5320026E-01 -,8802E+04  ,6474E+04   ,9997744 -,0148811  ,0151570
T   17  1 ,3177871E+07   5320025E-01 -,3778E+04  ,2652E+04   ,9995583 -,0007882 -,0297095
T   18  1 ,3156247E+07   5320027E-01  ,7528E+04  ,3464E+03   ,9992761  ,0145882  ,0351352
T   19  1 ,3190516E+07   5320024E-01 -,1077E+04  ,1311E+04   ,9998732  ,0078250  ,0138689
T   20  1 ,3171352E+07   5320001E-01 -,8381E+04 -,4701E+03   ,9984152 -,0533443  ,0179298
T   21  1 ,3231939E+07   5320005E-01 -,3492E+04 -,3777E+04   ,9997322 -,0208236 -,0100921
T   22  1 ,3174586E+07   5320022E-01  ,4131E+04  ,3675E+03   ,9996460  ,0237817  ,0119288
T   23  1 ,3195094E+07   5320008E-01  ,1151E+05 -,3389E+04   ,9996107  ,0276900 -,0034224
T   24  1 ,3159992E+07   5320009E-01  ,1658E+04 -,9893E+04   ,9994443 -,0074582 -,0324870
T   25  1 ,3155659E+07   5320020E-01 -,3837E+04 -,7114E+04   ,9985341 -,0404648 -,0359474
T   26  1 ,3118402E+07   5320023E-01 -,2998E+04  ,2278E+04   ,9997733 -,0110054  ,0182288
T   27  1 ,3202136E+07   5320007E-01 -,1277E+05  ,5759E+04   ,9974652 -,0685011  ,0192570
T   28  1 ,3188725E+07   5320007E-01 -,5831E+04  ,1394E+04   ,9999588  ,0075486  ,0050465
T   29  1 ,3164657E+07   5320019E-01 -,6470E+04  ,8303E+04   ,9999562 -,0067743  ,0064618
T   30  1 ,3169135E+07   5320021E-01  ,1071E+03  ,3653E+02   ,9998970 -,0143332  ,0007727
T   31  1 ,3154040E+07   5320007E-01  ,1410E+05 -,1790E+04   ,9990307  ,0364868 -,0246263
T   32  1 ,3185482E+07   5320025E-01  ,2177E+04  ,1248E+05   ,9992298  ,0032695  ,0391029
T   33  1 ,3134642E+07   5320026E-01  ,4434E+04 -,5768E+04   ,9993644  ,0108410 -,0339613
